store_id,air_genre_name,air_area_name
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
air_c47aa7493b15f297,Japanese style,Hiroshima-ken Hiroshima-shi Kokutaijimachi
